Id,SkillTypeBackendName,BackendName,NameAr,NameEn,DescriptionAr,DescriptionEn,DisplayOrder,IsActive
09A5581F-1B3C-51E5-98BF-E97668A8EC95,COMMUNICATION,TECHNICAL_WRITING,الكتابة التقنية,Technical Writing,قدرة عملية على تطبيق الكتابة التقنية في السياق المهني.,Practical ability to apply technical writing in a professional context.,8,true
C0EF8900-6FEA-5586-9102-340D8BD219B6,LEADERSHIP,TEAM_LEADERSHIP,قيادة الفرق,Team Leadership,قدرة عملية على تطبيق قيادة الفرق في السياق المهني.,Practical ability to apply team leadership in a professional context.,1,true
6C50DF42-AFC9-56AB-B959-B475107A6AF4,LEADERSHIP,DECISION_MAKING,اتخاذ القرار,Decision Making,قدرة عملية على تطبيق اتخاذ القرار في السياق المهني.,Practical ability to apply decision making in a professional context.,2,true
D0655652-AAA0-585E-8E76-27275B4D84F0,LEADERSHIP,COACHING_MENTORING,التدريب والتوجيه,Coaching and Mentoring,قدرة عملية على تطبيق التدريب والتوجيه في السياق المهني.,Practical ability to apply coaching and mentoring in a professional context.,3,true
584DD4BE-59EF-5BAB-84E0-55908DED0AAE,LEADERSHIP,CONFLICT_RESOLUTION,حل النزاعات,Conflict Resolution,قدرة عملية على تطبيق حل النزاعات في السياق المهني.,Practical ability to apply conflict resolution in a professional context.,4,true
A76DBF01-B162-5AA1-846E-91FCB2C159B3,LEADERSHIP,DELEGATION,التفويض,Delegation,قدرة عملية على تطبيق التفويض في السياق المهني.,Practical ability to apply delegation in a professional context.,5,true
8E711389-8480-519D-B1EB-CD212C92D3D1,LEADERSHIP,PERFORMANCE_MANAGEMENT,إدارة الأداء,Performance Management,قدرة عملية على تطبيق إدارة الأداء في السياق المهني.,Practical ability to apply performance management in a professional context.,6,true
FF675A53-7E9E-59A6-AEED-0AD98233D8B0,MANAGEMENT,PROJECT_MANAGEMENT,إدارة المشاريع,Project Management,قدرة عملية على تطبيق إدارة المشاريع في السياق المهني.,Practical ability to apply project management in a professional context.,1,true
0FDB9EFA-A8DD-592E-B589-7F9077104410,MANAGEMENT,OPERATIONS_MANAGEMENT,إدارة العمليات,Operations Management,قدرة عملية على تطبيق إدارة العمليات في السياق المهني.,Practical ability to apply operations management in a professional context.,2,true
B1FAC2E9-8702-50D7-AE38-8105856B17CA,MANAGEMENT,STRATEGIC_PLANNING,التخطيط الاستراتيجي,Strategic Planning,قدرة عملية على تطبيق التخطيط الاستراتيجي في السياق المهني.,Practical ability to apply strategic planning in a professional context.,3,true
CDAE4F22-69F2-57D4-96FE-6C03D788D838,MANAGEMENT,BUDGET_MANAGEMENT,إدارة الميزانيات,Budget Management,قدرة عملية على تطبيق إدارة الميزانيات في السياق المهني.,Practical ability to apply budget management in a professional context.,4,true
2A463889-3807-5F9B-917B-D526B4F2BE37,MANAGEMENT,RISK_MANAGEMENT,إدارة المخاطر,Risk Management,قدرة عملية على تطبيق إدارة المخاطر في السياق المهني.,Practical ability to apply risk management in a professional context.,5,true
486C0BE0-51BC-5BCA-B547-4EC354136530,MANAGEMENT,QUALITY_MANAGEMENT,إدارة الجودة,Quality Management,قدرة عملية على تطبيق إدارة الجودة في السياق المهني.,Practical ability to apply quality management in a professional context.,6,true
DD703C54-C369-5D2C-A2E3-F5673288CBAE,MANAGEMENT,CHANGE_MANAGEMENT,إدارة التغيير,Change Management,قدرة عملية على تطبيق إدارة التغيير في السياق المهني.,Practical ability to apply change management in a professional context.,7,true
CF137500-93A7-5487-817D-2D1058DB52C3,MANAGEMENT,RESOURCE_PLANNING,تخطيط الموارد,Resource Planning,قدرة عملية على تطبيق تخطيط الموارد في السياق المهني.,Practical ability to apply resource planning in a professional context.,8,true
9FAD6F10-94EE-56F8-8942-38A12C6116CA,MANAGEMENT,PROCESS_IMPROVEMENT,تحسين العمليات,Process Improvement,قدرة عملية على تطبيق تحسين العمليات في السياق المهني.,Practical ability to apply process improvement in a professional context.,9,true
AB6188CD-2DCC-50B4-996E-0BA419F9CE58,MANAGEMENT,PROCUREMENT_MANAGEMENT,إدارة المشتريات,Procurement Management,قدرة عملية على تطبيق إدارة المشتريات في السياق المهني.,Practical ability to apply procurement management in a professional context.,10,true
D84C0704-5ECC-5BCF-BFB0-FB8F4626EAE5,MANAGEMENT,SUPPLY_CHAIN_MANAGEMENT,إدارة سلاسل الإمداد,Supply Chain Management,قدرة عملية على تطبيق إدارة سلاسل الإمداد في السياق المهني.,Practical ability to apply supply chain management in a professional context.,11,true
327131E1-CBF3-51BB-80E5-5B3BB310F268,MANAGEMENT,LOGISTICS_MANAGEMENT,إدارة الخدمات اللوجستية,Logistics Management,قدرة عملية على تطبيق إدارة الخدمات اللوجستية في السياق المهني.,Practical ability to apply logistics management in a professional context.,12,true
221448B6-81CF-58B4-BDA0-366850495F13,COMPUTER,DIGITAL_LITERACY,المهارات الرقمية,Digital Literacy,قدرة عملية على تطبيق المهارات الرقمية في السياق المهني.,Practical ability to apply digital literacy in a professional context.,1,true
1B430506-A68F-55F9-91AD-E309E66528E6,COMPUTER,MICROSOFT_OFFICE,تطبيقات مايكروسوفت أوفيس,Microsoft Office,قدرة عملية على تطبيق تطبيقات مايكروسوفت أوفيس في السياق المهني.,Practical ability to apply microsoft office in a professional context.,2,true
CED790DD-DDCB-5A2A-A01F-608889FF3423,COMPUTER,SPREADSHEET_ANALYSIS,تحليل البيانات بالجداول الإلكترونية,Spreadsheet Analysis,قدرة عملية على تطبيق تحليل البيانات بالجداول الإلكترونية في السياق المهني.,Practical ability to apply spreadsheet analysis in a professional context.,3,true
C90501CA-91D5-5D74-851F-97E30FB3944F,COMPUTER,DATABASE_TOOLS,أدوات قواعد البيانات,Database Tools,قدرة عملية على تطبيق أدوات قواعد البيانات في السياق المهني.,Practical ability to apply database tools in a professional context.,4,true
CBD97A2B-4885-581D-915C-EC0DEEC72331,COMPUTER,DATA_VISUALIZATION_TOOLS,أدوات تصور البيانات,Data Visualization Tools,قدرة عملية على تطبيق أدوات تصور البيانات في السياق المهني.,Practical ability to apply data visualization tools in a professional context.,5,true
D47B1D47-72F2-5F80-9275-66C19C5F4A3D,COMPUTER,COLLABORATION_TOOLS,أدوات التعاون الرقمي,Digital Collaboration Tools,قدرة عملية على تطبيق أدوات التعاون الرقمي في السياق المهني.,Practical ability to apply digital collaboration tools in a professional context.,6,true
58CFA113-58D2-522E-8232-BDFDE39D2A6A,COMPUTER,ENTERPRISE_SYSTEMS,أنظمة المؤسسات,Enterprise Systems,قدرة عملية على تطبيق أنظمة المؤسسات في السياق المهني.,Practical ability to apply enterprise systems in a professional context.,7,true
68D4E731-9757-5732-9718-EAE057BC27BF,COMPUTER,GIS_SOFTWARE,برمجيات نظم المعلومات الجغرافية,GIS Software,قدرة عملية على تطبيق برمجيات نظم المعلومات الجغرافية في السياق المهني.,Practical ability to apply gis software in a professional context.,8,true
A291F07C-40AF-56DD-8DDE-9D3C79D00763,COMPUTER,CAD_SOFTWARE,برمجيات التصميم بمساعدة الحاسوب,CAD Software,قدرة عملية على تطبيق برمجيات التصميم بمساعدة الحاسوب في السياق المهني.,Practical ability to apply cad software in a professional context.,9,true
573F144A-D61C-5ED9-87A4-4F9C44F85A52,ANALYTICAL,PROBLEM_SOLVING,حل المشكلات,Problem Solving,قدرة عملية على تطبيق حل المشكلات في السياق المهني.,Practical ability to apply problem solving in a professional context.,1,true
C7385C67-3F1E-5F6A-A3CB-4542D36FF933,ANALYTICAL,CRITICAL_THINKING,التفكير النقدي,Critical Thinking,قدرة عملية على تطبيق التفكير النقدي في السياق المهني.,Practical ability to apply critical thinking in a professional context.,2,true
591BD8A4-AE6A-5CE5-8C91-D7F57A205605,ANALYTICAL,DATA_ANALYSIS,تحليل البيانات,Data Analysis,قدرة عملية على تطبيق تحليل البيانات في السياق المهني.,Practical ability to apply data analysis in a professional context.,3,true
0FE290F0-CC94-57C7-A3D3-E1AC2BD7B02E,ANALYTICAL,STATISTICAL_ANALYSIS,التحليل الإحصائي,Statistical Analysis,قدرة عملية على تطبيق التحليل الإحصائي في السياق المهني.,Practical ability to apply statistical analysis in a professional context.,4,true
1D700A36-648F-5D60-A2F5-550AEA76B407,ANALYTICAL,QUANTITATIVE_ANALYSIS,التحليل الكمي,Quantitative Analysis,قدرة عملية على تطبيق التحليل الكمي في السياق المهني.,Practical ability to apply quantitative analysis in a professional context.,5,true
DFCB41E4-64A9-5B0D-B06C-DBBE7B5CB15E,ANALYTICAL,RESEARCH_METHODS,مناهج البحث,Research Methods,قدرة عملية على تطبيق مناهج البحث في السياق المهني.,Practical ability to apply research methods in a professional context.,6,true
81A3753C-B1B5-5638-A66B-174EF5D470C4,ANALYTICAL,ROOT_CAUSE_ANALYSIS,تحليل السبب الجذري,Root Cause Analysis,قدرة عملية على تطبيق تحليل السبب الجذري في السياق المهني.,Practical ability to apply root cause analysis in a professional context.,7,true
16AE792F-D558-53C3-9555-64CBBFDDED4F,ANALYTICAL,FORECASTING,التنبؤ والتحليل الاستشرافي,Forecasting,قدرة عملية على تطبيق التنبؤ والتحليل الاستشرافي في السياق المهني.,Practical ability to apply forecasting in a professional context.,8,true
663A70D1-D897-553F-9E12-888A328E4A34,ANALYTICAL,POLICY_ANALYSIS,تحليل السياسات,Policy Analysis,قدرة عملية على تطبيق تحليل السياسات في السياق المهني.,Practical ability to apply policy analysis in a professional context.,9,true
821DCCF8-B236-55C5-AF7B-A19AACDD2753,ANALYTICAL,BUSINESS_ANALYSIS,تحليل الأعمال,Business Analysis,قدرة عملية على تطبيق تحليل الأعمال في السياق المهني.,Practical ability to apply business analysis in a professional context.,10,true
58044337-7782-5F22-B175-D4AF4DDB805A,CREATIVE,DESIGN_THINKING,التفكير التصميمي,Design Thinking,قدرة عملية على تطبيق التفكير التصميمي في السياق المهني.,Practical ability to apply design thinking in a professional context.,1,true
BB433387-C6EC-55D9-AFE4-6CE6C1ABE680,CREATIVE,GRAPHIC_DESIGN,التصميم الجرافيكي,Graphic Design,قدرة عملية على تطبيق التصميم الجرافيكي في السياق المهني.,Practical ability to apply graphic design in a professional context.,2,true
492004FA-8F85-52EF-B310-8CE254A68CD0,CREATIVE,UX_UI_DESIGN,تصميم تجربة وواجهة المستخدم,UX/UI Design,قدرة عملية على تطبيق تصميم تجربة وواجهة المستخدم في السياق المهني.,Practical ability to apply ux/ui design in a professional context.,3,true
E22909DB-B2B9-5CA5-85BC-4ADE079B4005,CREATIVE,CONTENT_CREATION,إنشاء المحتوى,Content Creation,قدرة عملية على تطبيق إنشاء المحتوى في السياق المهني.,Practical ability to apply content creation in a professional context.,4,true
5785F5A2-5E12-5A58-B705-F17C1A592EED,CREATIVE,CREATIVE_WRITING,الكتابة الإبداعية,Creative Writing,قدرة عملية على تطبيق الكتابة الإبداعية في السياق المهني.,Practical ability to apply creative writing in a professional context.,5,true
74ABF434-A0E9-5988-81D3-DA0F12BCDBA8,CREATIVE,PHOTOGRAPHY,التصوير الفوتوغرافي,Photography,قدرة عملية على تطبيق التصوير الفوتوغرافي في السياق المهني.,Practical ability to apply photography in a professional context.,6,true
83395CA8-CFBC-5752-98BF-76527DEC89FE,CREATIVE,VIDEO_PRODUCTION,إنتاج الفيديو,Video Production,قدرة عملية على تطبيق إنتاج الفيديو في السياق المهني.,Practical ability to apply video production in a professional context.,7,true
7EA9BCB2-ED86-5B42-A068-B06B7342AC3E,CREATIVE,VISUAL_STORYTELLING,السرد البصري,Visual Storytelling,قدرة عملية على تطبيق السرد البصري في السياق المهني.,Practical ability to apply visual storytelling in a professional context.,8,true
E25DB40E-EAB0-5874-ABE4-51003582FCFD,LANGUAGE,PROFESSIONAL_ARABIC,اللغة العربية المهنية,Professional Arabic,قدرة عملية على تطبيق اللغة العربية المهنية في السياق المهني.,Practical ability to apply professional arabic in a professional context.,1,true
C9C8B7E4-0D79-5582-8F1C-EE6FD225229C,LANGUAGE,PROFESSIONAL_ENGLISH,اللغة الإنجليزية المهنية,Professional English,قدرة عملية على تطبيق اللغة الإنجليزية المهنية في السياق المهني.,Practical ability to apply professional english in a professional context.,2,true
50FA631B-0CCC-5EEF-BA7C-2A6360115102,LANGUAGE,TRANSLATION,الترجمة,Translation,قدرة عملية على تطبيق الترجمة في السياق المهني.,Practical ability to apply translation in a professional context.,3,true
54DD9BB9-005F-51BE-8118-758DBEB7F8B3,LANGUAGE,INTERPRETATION,الترجمة الشفوية,Interpretation,قدرة عملية على تطبيق الترجمة الشفوية في السياق المهني.,Practical ability to apply interpretation in a professional context.,4,true
A9594CE5-B729-5970-9F20-D8324030CD14,OTHER,COMPLIANCE_AWARENESS,الوعي بالامتثال,Compliance Awareness,قدرة عملية على تطبيق الوعي بالامتثال في السياق المهني.,Practical ability to apply compliance awareness in a professional context.,1,true
7A3E15BC-4232-5276-9643-D83987D97233,OTHER,OCCUPATIONAL_HEALTH_SAFETY,الصحة والسلامة المهنية,Occupational Health and Safety,قدرة عملية على تطبيق الصحة والسلامة المهنية في السياق المهني.,Practical ability to apply occupational health and safety in a professional context.,2,true
889D5573-8860-585F-A0A7-693B79898608,OTHER,DOCUMENTATION_RECORDS,إدارة الوثائق والسجلات,Documentation and Records Management,قدرة عملية على تطبيق إدارة الوثائق والسجلات في السياق المهني.,Practical ability to apply documentation and records management in a professional context.,3,true
C70EA40D-E33F-5D2E-BCFF-A6D9FE29D24F,OTHER,INFORMATION_LITERACY,الثقافة المعلوماتية,Information Literacy,قدرة عملية على تطبيق الثقافة المعلوماتية في السياق المهني.,Practical ability to apply information literacy in a professional context.,4,true
90749714-0401-5DB1-89E4-A35D2D7CE26C,OTHER,COMMUNITY_ENGAGEMENT,المشاركة المجتمعية,Community Engagement,قدرة عملية على تطبيق المشاركة المجتمعية في السياق المهني.,Practical ability to apply community engagement in a professional context.,5,true
41EBFC90-1CC7-58B2-BB94-C4261027ADDB,OTHER,CULTURAL_AWARENESS,الوعي الثقافي,Cultural Awareness,قدرة عملية على تطبيق الوعي الثقافي في السياق المهني.,Practical ability to apply cultural awareness in a professional context.,6,true
0A6DC48F-65AD-5571-91E3-5D26FDD6DF25,TECHNICAL,REQUIREMENTS_ANALYSIS,تحليل المتطلبات,Requirements Analysis,قدرة عملية على تطبيق تحليل المتطلبات في السياق المهني.,Practical ability to apply requirements analysis in a professional context.,1,true
52230922-B523-5A5F-A5A3-E416D77BA3C5,TECHNICAL,SYSTEM_DESIGN,تصميم الأنظمة,Systems Design,قدرة عملية على تطبيق تصميم الأنظمة في السياق المهني.,Practical ability to apply systems design in a professional context.,2,true
9CFA11DE-C7FD-5AF3-9189-4A6FFA539B28,TECHNICAL,BACKEND_DEVELOPMENT,تطوير الواجهات الخلفية,Backend Development,قدرة عملية على تطبيق تطوير الواجهات الخلفية في السياق المهني.,Practical ability to apply backend development in a professional context.,3,true
003BBF60-03BC-5E03-BBC4-62C6B4557339,TECHNICAL,FRONTEND_DEVELOPMENT,تطوير الواجهات الأمامية,Frontend Development,قدرة عملية على تطبيق تطوير الواجهات الأمامية في السياق المهني.,Practical ability to apply frontend development in a professional context.,4,true
D4E641C1-953D-522F-8BDC-8813CDF2CE4B,TECHNICAL,API_DEVELOPMENT,تطوير واجهات البرمجة,API Development,قدرة عملية على تطبيق تطوير واجهات البرمجة في السياق المهني.,Practical ability to apply api development in a professional context.,5,true
C1A2B32B-B331-5BD3-BB1F-A46F408DF292,TECHNICAL,DATABASE_DESIGN,تصميم قواعد البيانات,Database Design,قدرة عملية على تطبيق تصميم قواعد البيانات في السياق المهني.,Practical ability to apply database design in a professional context.,6,true
C29B1A96-03AB-5BC7-BC9E-80F2989E630D,TECHNICAL,SOFTWARE_TESTING,اختبار البرمجيات,Software Testing,قدرة عملية على تطبيق اختبار البرمجيات في السياق المهني.,Practical ability to apply software testing in a professional context.,7,true
4AF08780-2567-5BBF-8745-6CA1DA3DDBA7,TECHNICAL,DEVOPS_CICD,ديف أوبس والتكامل والنشر المستمر,DevOps and CI/CD,قدرة عملية على تطبيق ديف أوبس والتكامل والنشر المستمر في السياق المهني.,Practical ability to apply devops and ci/cd in a professional context.,8,true
A9753610-C5C8-56BC-95CE-351D56F30F1D,TECHNICAL,CLOUD_COMPUTING,الحوسبة السحابية,Cloud Computing,قدرة عملية على تطبيق الحوسبة السحابية في السياق المهني.,Practical ability to apply cloud computing in a professional context.,9,true
805EA8A8-CA47-599A-8AAC-B4FEEA3FE5F1,TECHNICAL,CYBERSECURITY,الأمن السيبراني,Cybersecurity,قدرة عملية على تطبيق الأمن السيبراني في السياق المهني.,Practical ability to apply cybersecurity in a professional context.,10,true
15405998-C382-5E4B-986B-BBA462A6F340,TECHNICAL,COMPUTER_NETWORKING,شبكات الحاسوب,Computer Networking,قدرة عملية على تطبيق شبكات الحاسوب في السياق المهني.,Practical ability to apply computer networking in a professional context.,11,true
D0940C4B-0989-591C-8F4D-EA520F5DD229,TECHNICAL,DATA_ENGINEERING,هندسة البيانات,Data Engineering,قدرة عملية على تطبيق هندسة البيانات في السياق المهني.,Practical ability to apply data engineering in a professional context.,12,true
853E1EBC-AB0D-5A04-B1C4-08648F29138D,TECHNICAL,MACHINE_LEARNING,تعلم الآلة,Machine Learning,قدرة عملية على تطبيق تعلم الآلة في السياق المهني.,Practical ability to apply machine learning in a professional context.,13,true
A4886351-0D41-5297-B015-B76C347C6442,TECHNICAL,ARTIFICIAL_INTELLIGENCE,الذكاء الاصطناعي,Artificial Intelligence,قدرة عملية على تطبيق الذكاء الاصطناعي في السياق المهني.,Practical ability to apply artificial intelligence in a professional context.,14,true
341B2BF3-52E6-5411-AF95-ED3735A85F83,TECHNICAL,SOFTWARE_ARCHITECTURE,معمارية البرمجيات,Software Architecture,قدرة عملية على تطبيق معمارية البرمجيات في السياق المهني.,Practical ability to apply software architecture in a professional context.,15,true
AF5CE858-3D3F-59DC-83D7-955019162770,TECHNICAL,ROBOTICS_AUTOMATION,الروبوتات والأتمتة,Robotics and Automation,قدرة عملية على تطبيق الروبوتات والأتمتة في السياق المهني.,Practical ability to apply robotics and automation in a professional context.,16,true
CE3159D7-C75D-5264-9CC5-684C569715C3,TECHNICAL,ENGINEERING_DESIGN,التصميم الهندسي,Engineering Design,قدرة عملية على تطبيق التصميم الهندسي في السياق المهني.,Practical ability to apply engineering design in a professional context.,17,true
7D3A8B6A-63B1-54C4-85ED-2268B210E419,TECHNICAL,TECHNICAL_DRAWING,الرسم الهندسي,Technical Drawing,قدرة عملية على تطبيق الرسم الهندسي في السياق المهني.,Practical ability to apply technical drawing in a professional context.,18,true
E4C863BB-1F99-5B27-AB35-DBD975A462AB,TECHNICAL,ELECTRICAL_SYSTEMS,الأنظمة الكهربائية,Electrical Systems,قدرة عملية على تطبيق الأنظمة الكهربائية في السياق المهني.,Practical ability to apply electrical systems in a professional context.,19,true
1763FD0F-2E2C-59EB-AA88-60E914D60C36,TECHNICAL,ELECTRONIC_SYSTEMS,الأنظمة الإلكترونية,Electronic Systems,قدرة عملية على تطبيق الأنظمة الإلكترونية في السياق المهني.,Practical ability to apply electronic systems in a professional context.,20,true
2B641D47-8C25-5666-A808-8392F0B713CA,TECHNICAL,MECHANICAL_SYSTEMS,الأنظمة الميكانيكية,Mechanical Systems,قدرة عملية على تطبيق الأنظمة الميكانيكية في السياق المهني.,Practical ability to apply mechanical systems in a professional context.,21,true
41AEDE62-E540-5A85-AFBD-510FC331F065,TECHNICAL,CIVIL_ENGINEERING_PRACTICE,الممارسات الهندسية المدنية,Civil Engineering Practice,قدرة عملية على تطبيق الممارسات الهندسية المدنية في السياق المهني.,Practical ability to apply civil engineering practice in a professional context.,22,true
F1146BB4-F84C-5E95-9C12-C484A6396AB7,TECHNICAL,STRUCTURAL_ANALYSIS,التحليل الإنشائي,Structural Analysis,قدرة عملية على تطبيق التحليل الإنشائي في السياق المهني.,Practical ability to apply structural analysis in a professional context.,23,true
C6F30788-7F76-5002-8BDA-78B0DA8AF366,TECHNICAL,PROCESS_ENGINEERING,هندسة العمليات,Process Engineering,قدرة عملية على تطبيق هندسة العمليات في السياق المهني.,Practical ability to apply process engineering in a professional context.,24,true
04748EF7-6D7C-5243-B84F-08376D7F528F,TECHNICAL,ENERGY_SYSTEMS,أنظمة الطاقة,Energy Systems,قدرة عملية على تطبيق أنظمة الطاقة في السياق المهني.,Practical ability to apply energy systems in a professional context.,25,true
3F221211-48BD-5A82-9C2F-0AB82E1AD9D0,TECHNICAL,MATERIALS_ENGINEERING,هندسة المواد,Materials Engineering,قدرة عملية على تطبيق هندسة المواد في السياق المهني.,Practical ability to apply materials engineering in a professional context.,26,true
688FC613-2ECE-5850-9C7C-96D39994CDF9,TECHNICAL,METALLURGY,علم وهندسة المعادن,Metallurgy,قدرة عملية على تطبيق علم وهندسة المعادن في السياق المهني.,Practical ability to apply metallurgy in a professional context.,27,true
4400FE17-4D56-5A55-8A3F-B1B38D23B28A,TECHNICAL,MANUFACTURING_PROCESSES,عمليات التصنيع,Manufacturing Processes,قدرة عملية على تطبيق عمليات التصنيع في السياق المهني.,Practical ability to apply manufacturing processes in a professional context.,28,true
809DB822-2DDB-5D83-AE38-DA071F1FF4EC,TECHNICAL,MAINTENANCE_ENGINEERING,هندسة الصيانة,Maintenance Engineering,قدرة عملية على تطبيق هندسة الصيانة في السياق المهني.,Practical ability to apply maintenance engineering in a professional context.,29,true
C2B29B70-D0CE-51C5-8D79-117C002ADB95,TECHNICAL,MARITIME_SYSTEMS,الأنظمة والتقنيات البحرية,Maritime Systems,قدرة عملية على تطبيق الأنظمة والتقنيات البحرية في السياق المهني.,Practical ability to apply maritime systems in a professional context.,30,true
50041C14-34FA-5826-AD65-DFDF78EACBC2,TECHNICAL,ARCHITECTURAL_DESIGN,التصميم المعماري,Architectural Design,قدرة عملية على تطبيق التصميم المعماري في السياق المهني.,Practical ability to apply architectural design in a professional context.,31,true
31946052-A375-50D5-81AE-1059385A5620,TECHNICAL,URBAN_PLANNING,التخطيط الحضري,Urban Planning,قدرة عملية على تطبيق التخطيط الحضري في السياق المهني.,Practical ability to apply urban planning in a professional context.,32,true
5313E98B-8623-5442-A5FC-AFD3D9CCDDA3,TECHNICAL,SURVEYING_GEOMATICS,المساحة والجيوماتكس,Surveying and Geomatics,قدرة عملية على تطبيق المساحة والجيوماتكس في السياق المهني.,Practical ability to apply surveying and geomatics in a professional context.,33,true
F93EF006-3166-5843-8666-84DC6534863E,TECHNICAL,LABORATORY_TECHNIQUES,التقنيات المخبرية,Laboratory Techniques,قدرة عملية على تطبيق التقنيات المخبرية في السياق المهني.,Practical ability to apply laboratory techniques in a professional context.,34,true
C9EC5B23-D883-5507-BFF3-57F45328E9CF,TECHNICAL,SCIENTIFIC_RESEARCH,البحث العلمي,Scientific Research,قدرة عملية على تطبيق البحث العلمي في السياق المهني.,Practical ability to apply scientific research in a professional context.,35,true
2AE051F2-2CCE-59D6-9374-B17E36A42C64,TECHNICAL,EXPERIMENTAL_DESIGN,تصميم التجارب,Experimental Design,قدرة عملية على تطبيق تصميم التجارب في السياق المهني.,Practical ability to apply experimental design in a professional context.,36,true
0CAA06FF-1D81-5C99-84D4-B31F94078C66,TECHNICAL,CHEMICAL_ANALYSIS,التحليل الكيميائي,Chemical Analysis,قدرة عملية على تطبيق التحليل الكيميائي في السياق المهني.,Practical ability to apply chemical analysis in a professional context.,37,true
DADDE62D-6C2C-574E-B732-B6DBE238BB74,TECHNICAL,MICROBIOLOGY_TECHNIQUES,تقنيات الأحياء الدقيقة,Microbiology Techniques,قدرة عملية على تطبيق تقنيات الأحياء الدقيقة في السياق المهني.,Practical ability to apply microbiology techniques in a professional context.,38,true
C5EB5569-69A2-5333-84B5-236E014D89C9,TECHNICAL,MOLECULAR_BIOLOGY,الأحياء الجزيئية,Molecular Biology,قدرة عملية على تطبيق الأحياء الجزيئية في السياق المهني.,Practical ability to apply molecular biology in a professional context.,39,true
